Mode,MB,Run,Base_ms,Base_GBps,Pipe_ms,Pipe_Phys_GBps,Pipe_Eff_GBps,H2DComp_ms,Decomp_ms,Kernel_ms,D2H_ms
HIGH,4,1,1.36357,2.86471,4.17767,0.00366919,0.935031,0.010445,3.48516,0.038779,0.6432
HIGH,4,2,1.36503,2.86165,4.1786,0.00366837,0.934822,0.010444,3.48602,0.039344,0.642707
HIGH,4,3,1.36366,2.86453,4.17782,0.00366905,0.934998,0.010766,3.48512,0.039029,0.642826
HIGH,4,4,1.36236,2.86727,4.18786,0.00366025,0.932755,0.010098,3.4956,0.038961,0.643125
HIGH,4,5,1.36434,2.8631,4.17749,0.00366934,0.935071,0.009933,3.48599,0.038889,0.642609
HIGH,4,6,1.36323,2.86543,4.1768,0.00366995,0.935225,0.010014,3.48487,0.039238,0.6426
HIGH,4,7,1.36341,2.86506,4.17667,0.00367006,0.935255,0.010649,3.48496,0.03846,0.642532
HIGH,4,8,1.36346,2.86495,4.17679,0.00366996,0.935228,0.010189,3.48537,0.03873,0.642427
HIGH,4,9,1.36296,2.866,4.17641,0.00367029,0.935312,0.009725,3.48489,0.039314,0.642412
HIGH,4,10,1.36324,2.86541,4.17603,0.00367062,0.935398,0.009639,3.4848,0.038869,0.642656
HIGH,16,1,5.41172,2.88725,5.07908,0.012072,3.07634,0.020875,2.37356,0.134059,2.55051
HIGH,16,2,5.41251,2.88683,5.05995,0.0121176,3.08798,0.020364,2.3553,0.133578,2.55063
HIGH,16,3,5.41132,2.88746,5.0609,0.0121154,3.0874,0.021162,2.35563,0.133956,2.55007
HIGH,16,4,5.41213,2.88703,5.05957,0.0121185,3.08821,0.020442,2.3548,0.134165,2.55009
HIGH,16,5,5.41144,2.8874,5.05977,0.0121181,3.08809,0.020441,2.3551,0.133999,2.55015
HIGH,16,6,5.41164,2.8873,5.05939,0.012119,3.08832,0.020287,2.35559,0.133415,2.55002
HIGH,16,7,5.41371,2.88619,5.06064,0.012116,3.08755,0.020469,2.35556,0.133858,2.55067
HIGH,16,8,5.40325,2.89178,5.05983,0.0121179,3.08805,0.020369,2.35526,0.134049,2.55008
HIGH,16,9,5.40452,2.8911,5.06081,0.0121156,3.08745,0.020758,2.35568,0.13373,2.55057
HIGH,16,10,5.40271,2.89206,5.05904,0.0121198,3.08853,0.020103,2.35505,0.133826,2.55
HIGH,64,1,21.579,2.89633,12.9322,0.0189649,4.83289,0.064127,2.16592,0.518756,10.1833
HIGH,64,2,21.5877,2.89516,12.9353,0.0189603,4.83172,0.064567,2.16589,0.518948,10.1859
HIGH,64,3,21.5799,2.89621,12.9738,0.0189041,4.81739,0.087414,2.18022,0.521419,10.1847
HIGH,64,4,21.5811,2.89605,12.9519,0.0189361,4.82554,0.067849,2.18129,0.519173,10.1835
HIGH,64,5,21.572,2.89727,12.9451,0.018946,4.82807,0.065135,2.17711,0.519409,10.1834
HIGH,64,6,21.5744,2.89695,12.9451,0.0189461,4.82809,0.064428,2.17791,0.519096,10.1836
HIGH,64,7,21.5759,2.89675,12.9443,0.0189472,4.82837,0.063697,2.17713,0.519328,10.1841
HIGH,64,8,21.576,2.89674,12.9472,0.0189429,4.82729,0.063611,2.18047,0.519357,10.1837
HIGH,64,9,21.5832,2.89577,12.9512,0.0189371,4.8258,0.069384,2.17903,0.519103,10.1836
HIGH,64,10,21.5793,2.89629,12.9491,0.0189401,4.82658,0.065533,2.18011,0.519385,10.184
HIGH,256,1,86.2813,2.8975,45.4574,0.0215814,5.49966,0.282039,2.3934,2.06308,40.7188
HIGH,256,2,86.274,2.89775,45.3936,0.0216117,5.50738,0.297264,2.3146,2.06279,40.7189
HIGH,256,3,86.2742,2.89774,45.3875,0.0216146,5.50812,0.289543,2.31711,2.06229,40.7185
HIGH,256,4,86.2828,2.89745,45.3762,0.02162,5.50949,0.288311,2.30631,2.06285,40.7187
HIGH,256,5,86.3216,2.89615,45.4432,0.0215881,5.50137,0.286901,2.31922,2.11903,40.718
HIGH,256,6,86.2789,2.89758,45.3767,0.0216197,5.50943,0.284922,2.3103,2.06184,40.7196
HIGH,256,7,86.2878,2.89728,45.4033,0.0216071,5.50621,0.303406,2.31607,2.06463,40.7191
HIGH,256,8,86.2767,2.89765,45.3784,0.0216189,5.50923,0.287452,2.30956,2.06221,40.7191
HIGH,256,9,86.2763,2.89767,45.3689,0.0216235,5.51038,0.282985,2.30489,2.06221,40.7187
HIGH,256,10,86.3181,2.89626,45.4026,0.0216074,5.50629,0.302125,2.31779,2.0627,40.7199
HIGH,512,1,172.59,2.89704,89.4991,0.0219227,5.58665,0.469987,3.47637,4.12152,81.4311
HIGH,512,2,172.543,2.89783,89.4856,0.0219261,5.58749,0.472935,3.4623,4.11995,81.4303
HIGH,512,3,172.54,2.89788,89.5303,0.0219151,5.5847,0.471719,3.45395,4.17251,81.4321
HIGH,512,4,172.589,2.89705,89.5035,0.0219217,5.58638,0.4716,3.48062,4.1208,81.4304
HIGH,512,5,172.548,2.89774,89.5176,0.0219182,5.58549,0.471517,3.49477,4.1212,81.4301
HIGH,512,6,172.541,2.89786,89.5628,0.0219071,5.58267,0.466844,3.54297,4.12178,81.4311
HIGH,512,7,172.599,2.89689,89.5175,0.0219182,5.5855,0.470229,3.49536,4.12023,81.4316
HIGH,512,8,172.542,2.89785,89.5593,0.021908,5.58289,0.469634,3.48515,4.1732,81.4313
HIGH,512,9,172.539,2.89789,89.5077,0.0219206,5.58611,0.465092,3.49051,4.12088,81.4311
HIGH,512,10,172.553,2.89766,89.5033,0.0219217,5.58639,0.468301,3.48249,4.12147,81.4309
HIGH,1024,1,345.122,2.89752,177.769,0.0220744,5.62529,0.838533,5.84054,8.2353,162.854
HIGH,1024,2,345.075,2.89792,177.808,0.0220695,5.62406,0.83151,5.78941,8.2854,162.901
HIGH,1024,3,345.066,2.898,177.717,0.0220808,5.62693,0.833439,5.7915,8.23615,162.856
HIGH,1024,4,345.14,2.89737,177.767,0.0220746,5.62534,0.833511,5.84271,8.23639,162.854
HIGH,1024,5,345.121,2.89753,177.753,0.0220764,5.6258,0.828592,5.78255,8.28672,162.855
HIGH,1024,6,345.069,2.89797,177.705,0.0220823,5.62731,0.825907,5.78973,8.23577,162.853
HIGH,1024,7,345.068,2.89798,177.769,0.0220743,5.62526,0.825117,5.85372,8.23736,162.853
HIGH,1024,8,345.117,2.89757,177.736,0.0220784,5.62631,0.826904,5.77529,8.28052,162.853
HIGH,1024,9,345.079,2.89788,177.753,0.0220764,5.62579,0.825797,5.83769,8.23496,162.854
HIGH,1024,10,345.081,2.89787,177.792,0.0220715,5.62455,0.829426,5.87167,8.23673,162.854
MEDIUM,4,1,1.36292,2.86608,110.025,0.00780077,0.0355032,0.226569,109.116,0.039632,0.642619
MEDIUM,4,2,1.36373,2.86439,110.008,0.00780197,0.0355087,0.229854,109.097,0.038378,0.643132
MEDIUM,4,3,1.36237,2.86725,110.025,0.00780078,0.0355033,0.233579,109.111,0.038156,0.642482
MEDIUM,4,4,1.35482,2.88323,110.002,0.0078024,0.0355106,0.231132,109.091,0.03807,0.642248
MEDIUM,4,5,1.36253,2.86691,110.012,0.00780168,0.0355073,0.230969,109.102,0.037831,0.642076
MEDIUM,4,6,1.36143,2.86923,110.011,0.00780176,0.0355077,0.228269,109.101,0.03855,0.64304
MEDIUM,4,7,1.36715,2.85722,110.034,0.00780017,0.0355005,0.232785,109.115,0.037746,0.647811
MEDIUM,4,8,1.36186,2.86832,110.007,0.00780209,0.0355092,0.23092,109.095,0.038026,0.642259
MEDIUM,4,9,1.35442,2.88407,110.02,0.00780117,0.035505,0.230913,109.108,0.038055,0.642287
MEDIUM,4,10,1.36308,2.86575,110.029,0.00780049,0.035502,0.232291,109.113,0.041532,0.642513
MEDIUM,16,1,5.4057,2.89047,114.948,0.029869,0.135931,0.724671,111.538,0.134826,2.55111
MEDIUM,16,2,5.40643,2.89008,114.957,0.0298667,0.13592,0.720242,111.54,0.144755,2.55161
