Mode,MB,Ratio,Base_GBps_Avg,Base_GBps_StdDev,Pipe_Phys_GBps_Avg,Pipe_Phys_GBps_StdDev,Pipe_Eff_GBps_Avg,Pipe_Eff_GBps_StdDev,Base_ms_Avg,Base_ms_StdDev,CPUCompOnce_ms,H2DComp_ms_Avg,Decomp_ms_Avg,Kernel_ms_Avg,D2H_ms_Avg,Pipe_ms_Avg,Pipe_ms_StdDev,Winner
HIGH,4,99.6076,2.86481,0.00153701,0.00366871,3.04505e-06,0.934909,0.00077598,1.36353,0.000731788,1.51239,0.0101902,3.48628,0.0389613,0.642709,4.17822,0.0034746,BASE
HIGH,16,99.6076,2.88844,0.00225357,0.012113,1.44803e-05,3.08679,0.00369007,5.4095,0.00421796,6.52105,0.020527,2.35715,0.133863,2.55028,5.0619,0.00606919,PIPE
HIGH,64,99.6076,2.89635,0.000613415,0.0189425,1.63911e-05,4.82718,0.00417701,21.5789,0.00457054,27.1516,0.0675745,2.17651,0.519397,10.184,12.9475,0.0112134,PIPE
HIGH,256,99.6076,2.8973,0.000595845,0.0216092,1.4095e-05,5.50676,0.00359188,86.2872,0.0177499,106.009,0.290495,2.32093,2.06836,40.7189,45.3988,0.0296311,PIPE
HIGH,512,99.6076,2.89757,0.000404347,0.021918,6.21797e-06,5.58543,0.00158455,172.558,0.0240827,211.222,0.469786,3.48645,4.13135,81.431,89.5187,0.0254008,PIPE
HIGH,1024,99.6076,2.89776,0.000234667,0.0220758,3.92161e-06,5.62566,0.000999359,345.094,0.0279474,401.796,0.829874,5.81748,8.25053,162.859,177.757,0.0315766,PIPE
MEDIUM,4,78.028,2.86924,0.00827372,0.00780133,7.53081e-07,0.0355057,3.42745e-06,1.36143,0.0039169,4.22091,0.230728,109.105,0.0385976,0.643047,110.017,0.0106204,BASE
MEDIUM,16,78.0264,2.89113,0.00141347,0.0298683,3.99692e-06,0.135928,1.81896e-05,5.40447,0.00264262,17.5873,0.724001,111.539,0.135962,2.55154,114.951,0.0153821,BASE
MEDIUM,64,78.0291,2.89643,0.000575192,0.109958,1.34756e-05,0.500473,6.13341e-05,21.5783,0.00428574,73.955,2.54354,111.631,0.521313,10.1864,124.882,0.0153032,BASE
MEDIUM,256,78.0287,2.89738,0.000502788,0.33009,7.49142e-05,1.50237,0.000340964,86.2848,0.0149766,296.22,9.79661,113.803,2.08226,40.7222,166.404,0.0377675,BASE
MEDIUM,512,78.029,2.89756,0.000426309,0.48885,0.000195714,2.22498,0.000890785,172.559,0.0253915,593.272,19.4519,119.712,4.12414,81.4331,224.721,0.0899554,BASE
MEDIUM,1024,78.0293,2.89766,0.000202868,0.637209,0.000575653,2.90027,0.00262009,345.107,0.0241613,1179.91,38.7678,134.878,8.29344,162.857,344.796,0.311578,PIPE
RANDOM,4,0,2.87267,0.00813478,0.0873834,1.72675e-05,0.087042,1.72001e-05,1.35981,0.00384185,3.16834,0.790814,43.4061,0.0375992,0.643124,44.8777,0.00886867,BASE
RANDOM,16,0,2.89119,0.00126536,0.319494,7.20623e-05,0.318246,7.17808e-05,5.40435,0.00236581,13.0217,2.88355,43.528,0.134526,2.55117,49.0973,0.0110784,BASE
RANDOM,64,0,2.89639,0.000237889,0.954304,0.000223849,0.950576,0.000222974,21.5786,0.0017722,56.7906,11.1707,43.8668,0.525306,10.1868,65.7496,0.0154287,BASE
RANDOM,256,0,2.89744,0.000625773,1.90542,0.000317993,1.89798,0.00031675,86.2832,0.0186445,245.057,44.2736,44.6512,2.07323,40.7209,131.719,0.0219878,BASE
RANDOM,512,0,2.8976,0.00044266,2.27871,0.000291274,2.26981,0.000290136,172.557,0.0263655,516.791,88.4005,46.3112,4.13823,81.433,220.283,0.0281584,BASE
RANDOM,1024,0,2.89771,0.000189223,2.53316,0.000572047,2.52327,0.000569812,345.1,0.0225354,953.625,176.591,48.5889,8.26937,162.862,396.312,0.0894844,BASE
