Mode,CPU_Percent,GPU_Percent,Assignment_Trial,CPU_Rows,GPU_Rows,CPU_Chunks,GPU_Chunks,CPU_Decomp_ms_Avg,CPU_SPJA_ms_Avg,CPU_Total_ms_Avg,GPU_H2D_Comp_ms_Avg,GPU_Decomp_ms_Avg,GPU_SPJA_ms_Avg,GPU_D2H_Result_ms_Avg,GPU_Total_ms_Avg,Balance_Difference_ms_Avg,Total_ms_Avg,Effective_GiBps_Avg,Physical_GiBps_Avg,Overlap_Efficiency_Avg,CPU_Effective_GiBps_Avg,GPU_Effective_GiBps_Avg,Final_Result,Reference_Result,Valid
TPCH_FAIR_ASSIGN_DETAIL,100,0,0,50765090,0,388,0,284.182,314.01,598.191,0,0,0,0,0,598.191,598.408,0.954495,0.512634,0.999637,0.948432,0,5752179922390,5752179922390,YES
TPCH_FAIR_ASSIGN_DETAIL,100,0,1,50765090,0,388,0,180.221,262.025,442.245,0,0,0,0,0,442.245,442.424,1.28416,0.689686,0.999597,1.28287,0,5752179922390,5752179922390,YES
TPCH_FAIR_ASSIGN_DETAIL,100,0,2,50765090,0,388,0,251.698,293.522,545.22,0,0,0,0,0,545.22,545.428,1.06683,0.572968,0.999608,1.04058,0,5752179922390,5752179922390,YES
TPCH_FAIR_ASSIGN_DETAIL,100,0,3,50765090,0,388,0,205.926,273.748,479.674,0,0,0,0,0,479.674,479.858,1.20229,0.645718,0.999612,1.18277,0,5752179922390,5752179922390,YES
TPCH_FAIR_ASSIGN_DETAIL,100,0,4,50765090,0,388,0,295.645,321.843,617.488,0,0,0,0,0,617.488,617.692,0.92008,0.49415,0.99967,0.918793,0,5752179922390,5752179922390,YES
TPCH_FAIR_ASSIGN_DETAIL,75,25,0,38051106,12713984,291,97,205.109,240.382,445.491,23.5093,67.0573,1.14049,0.024231,91.7313,353.76,445.714,1.28634,0.690861,0.999497,0.954573,1.54898,5752179922390,5752179922390,YES
TPCH_FAIR_ASSIGN_DETAIL,75,25,1,38051106,12713984,291,97,195.462,231.832,427.294,23.2754,69.086,1.15164,0.0228876,93.5359,333.758,427.529,1.35407,0.727235,0.99944,0.995227,1.51909,5752179922390,5752179922390,YES
TPCH_FAIR_ASSIGN_DETAIL,75,25,2,38051106,12713984,291,97,155.562,203.966,359.528,24.3886,71.0647,1.16138,0.0226272,96.6373,262.891,359.743,1.59465,0.856443,0.9994,1.18281,1.47034,5752179922390,5752179922390,YES
TPCH_FAIR_ASSIGN_DETAIL,75,25,3,38141952,12623138,291,97,185.994,218.535,404.53,24.2942,68.0505,1.13676,0.0231683,93.5046,311.025,404.754,1.42751,0.766676,0.999435,1.05374,1.50874,5752179922390,5752179922390,YES
TPCH_FAIR_ASSIGN_DETAIL,75,25,4,38141952,12623138,291,97,143.43,195.781,339.211,24.3596,66.2749,1.12715,0.0218217,91.7834,247.428,339.449,1.68095,0.902793,0.999295,1.25665,1.53704,5752179922390,5752179922390,YES
