Mode,Input_MiB,CPU_Percent,GPU_Percent,Total_Rows,CPU_Rows,GPU_Rows,Total_Chunks,CPU_Chunks,GPU_Chunks,Compression_Reduction_Percent,Preprocess_Compress_ms_Not_Counted,CPU_Decomp_ms_Avg,CPU_Decomp_ms_StdDev,CPU_SPJA_ms_Avg,CPU_SPJA_ms_StdDev,CPU_Total_ms_Avg,CPU_Total_ms_StdDev,GPU_H2D_Comp_ms_Avg,GPU_Decomp_ms_Avg,GPU_SPJA_ms_Avg,GPU_D2H_Result_ms_Avg,GPU_Total_ms_Avg,CPU_Effective_GiBps_Avg,GPU_Effective_GiBps_Avg,Balance_Difference_ms,Total_ms_Avg,Total_ms_StdDev,Effective_GiBps_Avg,Physical_GiBps_Avg,CPU_Result,GPU_Result,Final_Result,Reference_Result,Valid
TPCH_COL_BATCH_OPT,2059.92,100,0,179998372,179998372,0,172,172,0,94.6691,52991.5,338.751,2.33461,168.606,1.54379,507.357,2.92065,0,0,0,0,0,3.96494,0,507.357,507.357,2.92065,3.96505,0.211372,0,0,0,0,YES
TPCH_COL_BATCH_OPT,2059.92,90,10,179998372,162529280,17469092,172,155,17,94.6691,52991.5,307.708,2.78956,141.389,1.44834,449.098,3.24246,3.11567,107.55,0.796515,0.0136256,111.476,4.04457,1.75134,337.622,560.601,3.23409,3.58847,0.191296,0,0,0,0,YES
TPCH_COL_BATCH_OPT,2059.92,80,20,179998372,144703488,35294884,172,138,34,94.6691,52991.5,274.157,4.51702,126.816,0.296558,400.973,4.54052,5.97631,108.441,1.60211,0.0159426,116.035,4.03316,3.39941,284.937,517.035,4.52478,3.89098,0.207423,0,0,0,0,YES
TPCH_COL_BATCH_OPT,2059.92,70,30,179998372,126877696,53120676,172,121,51,94.6691,52991.5,239.405,3.01972,111.869,1.39356,351.274,3.20088,9.05887,112.425,2.40981,0.0163098,123.91,4.03665,4.79116,227.365,475.21,3.21763,4.23333,0.225673,0,0,0,0,YES
TPCH_COL_BATCH_OPT,2059.92,60,40,179998372,109051904,70946468,172,104,68,94.6691,52991.5,206.328,2.66734,96.0515,0.941786,302.379,3.32581,12.1115,113.914,3.21424,0.0143989,129.254,4.03053,6.13434,173.125,431.661,3.31918,4.66047,0.248443,0,0,0,0,YES
TPCH_COL_BATCH_OPT,2059.92,50,50,179998372,90177536,89820836,172,86,86,94.6691,52991.5,169.867,2.23157,79.1373,1.0733,249.005,2.34333,15.3009,115.575,4.04922,0.0137188,134.939,4.04736,7.4391,114.066,383.969,2.21472,5.23921,0.279295,0,0,0,0,YES
TPCH_COL_BATCH_OPT,2059.92,40,60,179998372,72351744,107646628,172,69,103,94.6691,52991.5,135.592,1.30944,63.976,0.385548,199.568,1.55732,18.332,115.842,4.94206,0.0156185,139.132,4.05172,8.6468,60.4362,338.725,1.53538,5.93897,0.316598,0,0,0,0,YES
TPCH_COL_BATCH_OPT,2059.92,30,70,179998372,54525952,125472420,172,52,120,94.6691,52991.5,103.011,1.64564,49.4284,0.319011,152.44,1.88491,21.2709,121.76,5.8363,0.0155016,148.882,3.99749,9.41859,3.55706,301.344,1.79408,6.67576,0.355875,0,0,0,0,YES
TPCH_COL_BATCH_OPT,2059.92,20,80,179998372,36700160,143298212,172,35,137,94.6691,52991.5,69.92,2.51129,32.5869,0.319063,102.507,2.61208,23.4037,229.576,6.68952,0.0161568,259.686,4.00125,6.167,157.179,362.217,2.51669,5.55392,0.296072,0,0,0,0,YES
TPCH_COL_BATCH_OPT,2059.92,10,90,179998372,18874368,161124004,172,18,154,94.6691,52991.5,35.5496,0.899648,17.1088,0.140538,52.6585,0.892299,25.007,231.628,7.5069,0.0152458,264.157,4.00577,6.81678,211.499,316.838,0.909229,6.34915,0.338464,0,0,0,0,YES
TPCH_COL_BATCH_OPT,2059.92,0,100,179998372,0,179998372,172,0,172,94.6691,52991.5,1.55e-05,2.50555e-06,1.77e-05,5.45792e-06,7.8e-05,9.84322e-06,26.9166,235.871,8.3696,0.0151399,271.172,0,7.41831,271.172,271.189,0.247553,7.41786,0.395436,0,0,0,0,YES
