Experiment,Mode,Input_MiB,CPU_Percent,GPU_Percent,Assignment_Trials,Timed_Runs_Per_Assignment,CPU_Rows_Avg,GPU_Rows_Avg,Timed_H2D_Bytes_Avg,Offline_Compression_ms_Excluded,E2E_ms_Avg,E2E_ms_StdDev,Effective_GiBps_Avg,Effective_GiBps_StdDev,CPU_Path_ms_Avg,CPU_Path_ms_StdDev,GPU_Path_ms_Avg,GPU_Path_ms_StdDev,Final_Result,Reference_Result,Valid
COMPRESSION,UNCOMPRESSED,2747.14,100,0,5,5,2.40049e+08,0,0,128573,83.6468,4.02846,32.1417,1.50289,83.5572,4.02475,0,0,27571934343560,27571934343560,YES
COMPRESSION,COMPRESSED_LZ4_NVCOMP,2747.14,100,0,5,5,2.40049e+08,0,0,128573,263.821,2.2617,10.1696,0.0865997,263.729,2.25693,0,0,27571934343560,27571934343560,YES
COMPRESSION,UNCOMPRESSED,2747.14,75,25,5,5,1.80033e+08,6.00159e+07,7.20191e+08,128573,121.126,0.162565,22.1485,0.0297096,78.2253,6.05481,120.964,0.146401,27571934343560,27571934343560,YES
COMPRESSION,COMPRESSED_LZ4_NVCOMP,2747.14,75,25,5,5,1.80033e+08,6.00159e+07,3.86302e+08,128573,212.585,3.10441,12.6222,0.178764,212.415,3.10956,126.636,2.35602,27571934343560,27571934343560,YES
COMPRESSION,UNCOMPRESSED,2747.14,50,50,5,5,1.20002e+08,1.20047e+08,1.44056e+09,128573,241.842,0.0751786,11.093,0.00344826,64.8052,2.28712,241.716,0.0634423,27571934343560,27571934343560,YES
COMPRESSION,COMPRESSED_LZ4_NVCOMP,2747.14,50,50,5,5,1.20002e+08,1.20047e+08,7.72703e+08,128573,264.658,3.42374,10.1383,0.131941,165.772,1.47399,264.529,3.42424,27571934343560,27571934343560,YES
COMPRESSION,UNCOMPRESSED,2747.14,25,75,5,5,5.99858e+07,1.80063e+08,2.16075e+09,128573,362.694,0.0907407,7.39673,0.00185045,36.9802,0.857084,362.564,0.0842024,27571934343560,27571934343560,YES
COMPRESSION,COMPRESSED_LZ4_NVCOMP,2747.14,25,75,5,5,5.99858e+07,1.80063e+08,1.15901e+09,128573,378.479,3.48729,7.08883,0.0654842,85.4353,0.764205,378.348,3.48728,27571934343560,27571934343560,YES
COMPRESSION,UNCOMPRESSED,2747.14,0,100,5,5,0,2.40049e+08,2.88058e+09,128573,483.723,0.172189,5.54605,0.0019742,0,0,483.692,0.171567,27571934343560,27571934343560,YES
COMPRESSION,COMPRESSED_LZ4_NVCOMP,2747.14,0,100,5,5,0,2.40049e+08,1.54511e+09,128573,459.399,4.10055,5.84015,0.0524392,0,0,459.367,4.10025,27571934343560,27571934343560,YES
