Experiment,Mode,Input_MiB,CPU_Percent,GPU_Percent,Assignment_Trials,Timed_Runs_Per_Assignment,CPU_Rows_Avg,GPU_Rows_Avg,Timed_H2D_Bytes_Avg,Offline_Compression_ms_Excluded,E2E_ms_Avg,E2E_ms_StdDev,Effective_GiBps_Avg,Effective_GiBps_StdDev,CPU_Path_ms_Avg,CPU_Path_ms_StdDev,GPU_Path_ms_Avg,GPU_Path_ms_StdDev,Final_Result,Reference_Result,Valid
H2D,WITH_H2D,2747.14,100,0,5,5,2.40049e+08,0,0,128573,263.018,1.75636,10.2003,0.0680179,262.927,1.75384,0,0,27571934343560,27571934343560,YES
H2D,WITHOUT_H2D,2747.14,100,0,5,5,2.40049e+08,0,0,128573,263.452,2.21814,10.1838,0.0849924,263.36,2.21735,0,0,27571934343560,27571934343560,YES
H2D,WITH_H2D,2747.14,75,25,5,5,1.80033e+08,6.00159e+07,3.86302e+08,128573,212.407,7.15502,12.643,0.394734,212.224,7.16014,127.174,1.99322,27571934343560,27571934343560,YES
H2D,WITHOUT_H2D,2747.14,75,25,5,5,1.80033e+08,6.00159e+07,0,128573,207.339,1.17219,12.9394,0.0731702,207.155,1.17051,56.8709,1.97757,27571934343560,27571934343560,YES
H2D,WITH_H2D,2747.14,50,50,5,5,1.20002e+08,1.20047e+08,7.72703e+08,128573,265.39,3.87471,10.1108,0.148227,163.838,2.65256,265.254,3.87362,27571934343560,27571934343560,YES
H2D,WITHOUT_H2D,2747.14,50,50,5,5,1.20002e+08,1.20047e+08,0,128573,149.83,2.02068,17.9085,0.240637,149.652,2.01813,124.873,3.24412,27571934343560,27571934343560,YES
H2D,WITH_H2D,2747.14,25,75,5,5,5.99858e+07,1.80063e+08,1.15901e+09,128573,381.431,3.17113,7.03385,0.0586466,85.6321,1.09987,381.299,3.17557,27571934343560,27571934343560,YES
H2D,WITHOUT_H2D,2747.14,25,75,5,5,5.99858e+07,1.80063e+08,0,128573,186.042,3.98659,14.4265,0.312558,79.0546,0.973654,185.913,3.98421,27571934343560,27571934343560,YES
H2D,WITH_H2D,2747.14,0,100,5,5,0,2.40049e+08,1.54511e+09,128573,460.417,2.59318,5.82696,0.0327943,0,0,460.387,2.59483,27571934343560,27571934343560,YES
H2D,WITHOUT_H2D,2747.14,0,100,5,5,0,2.40049e+08,0,128573,237.949,3.16288,11.2764,0.149777,0,0,237.918,3.1622,27571934343560,27571934343560,YES
