Mode,Input_MiB,CPU_Percent,GPU_Percent,Assignment_Trials,Timed_Runs_Per_Assignment,CPU_Rows_Avg,GPU_Rows_Avg,Timed_H2D_Bytes_Avg,Compression_Preprocess_ms_Excluded,E2E_ms_Avg,E2E_ms_StdDev,Effective_GiBps_Avg,Effective_GiBps_StdDev,CPU_Path_ms_Avg,CPU_Path_ms_StdDev,GPU_Path_ms_Avg,GPU_Path_ms_StdDev,Final_Result,Reference_Result,Valid
UNCOMPRESSED_WITH_H2D,2747.14,100,0,5,5,2.40049e+08,0,0,127614,90.2291,3.12629,29.7674,1.04479,90.1302,3.12314,0,0,27571934343560,27571934343560,YES
COMPRESSED_WITH_H2D,2747.14,100,0,5,5,2.40049e+08,0,0,127614,269.362,3.36953,9.96113,0.123165,269.266,3.37008,0,0,27571934343560,27571934343560,YES
COMPRESSED_WITHOUT_H2D,2747.14,100,0,5,5,2.40049e+08,0,0,127614,269.382,3.86533,9.96085,0.140599,269.287,3.86855,0,0,27571934343560,27571934343560,YES
UNCOMPRESSED_WITH_H2D,2747.14,75,25,5,5,1.80033e+08,6.00159e+07,7.20191e+08,127614,121.052,0.0777743,22.162,0.014247,77.6248,2.67371,120.886,0.069764,27571934343560,27571934343560,YES
COMPRESSED_WITH_H2D,2747.14,75,25,5,5,1.80033e+08,6.00159e+07,3.86302e+08,127614,216.08,2.93565,12.4177,0.168347,215.88,2.94452,124.981,2.39244,27571934343560,27571934343560,YES
COMPRESSED_WITHOUT_H2D,2747.14,75,25,5,5,1.80033e+08,6.00159e+07,0,127614,211.736,1.77973,12.6711,0.105862,211.533,1.76873,56.4149,2.34376,27571934343560,27571934343560,YES
UNCOMPRESSED_WITH_H2D,2747.14,50,50,5,5,1.20002e+08,1.20047e+08,1.44056e+09,127614,241.768,0.0787456,11.0964,0.00361536,58.4735,5.84742,241.623,0.0768942,27571934343560,27571934343560,YES
COMPRESSED_WITH_H2D,2747.14,50,50,5,5,1.20002e+08,1.20047e+08,7.72703e+08,127614,260.675,2.95967,10.2928,0.11644,166.95,2.23056,260.542,2.95395,27571934343560,27571934343560,YES
COMPRESSED_WITHOUT_H2D,2747.14,50,50,5,5,1.20002e+08,1.20047e+08,0,127614,152.646,1.8259,17.5774,0.208942,152.473,1.82493,123.07,2.46885,27571934343560,27571934343560,YES
UNCOMPRESSED_WITH_H2D,2747.14,25,75,5,5,5.99858e+07,1.80063e+08,2.16075e+09,127614,362.485,0.0908856,7.401,0.00185554,37.1939,1.08829,362.355,0.0859673,27571934343560,27571934343560,YES
COMPRESSED_WITH_H2D,2747.14,25,75,5,5,5.99858e+07,1.80063e+08,1.15901e+09,127614,376.189,3.61902,7.13202,0.0689742,87.4258,2.86553,376.054,3.60946,27571934343560,27571934343560,YES
COMPRESSED_WITHOUT_H2D,2747.14,25,75,5,5,5.99858e+07,1.80063e+08,0,127614,177.978,3.75048,15.0799,0.318031,79.6954,0.907885,177.852,3.74902,27571934343560,27571934343560,YES
UNCOMPRESSED_WITH_H2D,2747.14,0,100,5,5,0,2.40049e+08,2.88058e+09,127614,483.525,0.180982,5.54832,0.00207636,0,0,483.493,0.179797,27571934343560,27571934343560,YES
COMPRESSED_WITH_H2D,2747.14,0,100,5,5,0,2.40049e+08,1.54511e+09,127614,452.233,3.92679,5.93266,0.0517262,0,0,452.202,3.92768,27571934343560,27571934343560,YES
COMPRESSED_WITHOUT_H2D,2747.14,0,100,5,5,0,2.40049e+08,0,127614,228.301,3.53774,11.7537,0.183136,0,0,228.268,3.5392,27571934343560,27571934343560,YES
