Mode,CPU_Percent,GPU_Percent,Assignment_Trial,CPU_Rows,GPU_Rows,CPU_Chunks,GPU_Chunks,CPU_Decomp_ms_Avg,CPU_SPJA_ms_Avg,CPU_Total_ms_Avg,GPU_H2D_Comp_ms_Avg,GPU_Decomp_ms_Avg,GPU_SPJA_ms_Avg,GPU_D2H_Result_ms_Avg,GPU_Total_ms_Avg,Balance_Difference_ms_Avg,Total_ms_Avg,Effective_GiBps_Avg,Physical_GiBps_Avg,Overlap_Efficiency_Avg,CPU_Effective_GiBps_Avg,GPU_Effective_GiBps_Avg,Final_Result,Reference_Result,Valid
TPCH_FAIR_ASSIGN_DETAIL,100,0,0,240048600,0,916,0,162.704,140.252,257.434,0,0,0,0,0,257.434,257.521,10.4209,5.58966,0.999661,10.4211,0,27571934343560,27571934343560,YES
TPCH_FAIR_ASSIGN_DETAIL,100,0,1,240048600,0,916,0,164.994,114.581,254.399,0,0,0,0,0,254.399,254.487,10.542,5.65459,0.999652,10.5455,0,27571934343560,27571934343560,YES
TPCH_FAIR_ASSIGN_DETAIL,100,0,2,240048600,0,916,0,137.684,150.054,251.4,0,0,0,0,0,251.4,251.488,10.6679,5.72214,0.99965,10.6713,0,27571934343560,27571934343560,YES
TPCH_FAIR_ASSIGN_DETAIL,100,0,3,240048600,0,916,0,153.16,144.166,253.205,0,0,0,0,0,253.205,253.285,10.5922,5.68151,0.999681,10.5952,0,27571934343560,27571934343560,YES
TPCH_FAIR_ASSIGN_DETAIL,100,0,4,240048600,0,916,0,138.038,149.038,250.593,0,0,0,0,0,250.593,250.667,10.7033,5.74113,0.999707,10.7056,0,27571934343560,27571934343560,YES
TPCH_FAIR_ASSIGN_DETAIL,75,25,0,180017624,60030976,687,229,93.0772,123.917,196.594,70.6952,50.5226,4.41979,0.151827,125.809,70.7846,196.715,13.6386,7.31558,0.999384,10.2336,5.33266,27571934343560,27571934343560,YES
TPCH_FAIR_ASSIGN_DETAIL,75,25,1,180017624,60030976,687,229,127.453,102.024,201.304,70.3794,53.4227,4.70938,0.214982,128.747,72.5568,201.505,13.3143,7.14167,0.999003,9.9941,5.21097,27571934343560,27571934343560,YES
TPCH_FAIR_ASSIGN_DETAIL,75,25,2,180017624,60030976,687,229,129.437,103.867,207.044,70.2464,52.1717,4.59365,0.179878,127.209,79.8347,207.223,12.9743,6.95928,0.999135,9.71705,5.27398,27571934343560,27571934343560,YES
TPCH_FAIR_ASSIGN_DETAIL,75,25,3,180017624,60030976,687,229,126.507,97.0909,199.986,70.8024,50.3331,4.26639,0.198931,125.623,74.3629,200.188,13.4021,7.18875,0.998987,10.06,5.34059,27571934343560,27571934343560,YES
TPCH_FAIR_ASSIGN_DETAIL,75,25,4,180092928,59955672,687,229,128.363,101.475,200.373,70.6556,51.5445,4.30182,0.20983,126.729,73.6437,200.591,13.3746,7.17398,0.998914,10.0447,5.2873,27571934343560,27571934343560,YES
TPCH_FAIR_ASSIGN_DETAIL,50,50,0,119986648,120061952,458,458,98.7418,82.4237,156.738,140.088,111.582,8.31645,0.0342336,260.03,103.292,260.183,10.3119,5.53116,0.999414,8.55537,5.16015,27571934343560,27571934343560,YES
TPCH_FAIR_ASSIGN_DETAIL,50,50,1,119986648,120061952,458,458,99.0439,81.701,156.744,140.596,111.045,8.36298,0.0309056,260.044,103.3,260.186,10.3109,5.53068,0.999456,8.55508,5.15989,27571934343560,27571934343560,YES
